sub_industry,Industry,sector,sic_code,sic_description
Plasterers/Wall Installation And Repair,Construction & Engineering,Construction & Materials,43310,Plastering
Plastic Boxes,Plastics Manufacturing,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Plastic Coating Services,Plastics Manufacturing,Manufacturing & Industrials,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants"
Plastic Injection Moulding,Plastics Manufacturing,Manufacturing & Industrials,22290,Manufacture of other plastic products
Plastic Raw Material,Plastics Manufacturing,Manufacturing & Industrials,22210,"Manufacture of plastic plates, sheets, tubes and profiles"
Plastic Recycling Service,Recycling & Waste Management,Manufacturing & Industrials,38320,Recovery of sorted materials
Plastic Security Seals,Security Services & Equipment,Manufacturing & Industrials,22290,Manufacture of other plastic products
Plastic Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Plastics,Plastics Manufacturing,Manufacturing & Industrials,22290,Manufacture of other plastic products
Plastics Extrusion,Mechanical Engineering,Manufacturing & Industrials,22210,"Manufacture of plastic plates, sheets, tubes and profiles"
Plastics Machinery & Equipment Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,28960,Manufacture of plastics and rubber machinery
Plastics Vacuum Forming,Plastics Manufacturing,Manufacturing & Industrials,22290,Manufacture of other plastic products
Plating Service,Metal Fabrication,Manufacturing & Industrials,25610,Treatment and coating of metals
Playground Equipment,Machinery & Manufacturing Services,Manufacturing & Industrials,32409,"Manufacture of other games and toys, n.e.c."
Plean Industrial Estate,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate
Plumber Merchants,Building Materials & Products,Construction & Materials,46740,"Wholesale of hardware, plumbing and heating equipment and supplies"
Plumbers,Construction Services,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation"
Plumbing & Sanitation Pipes & Fittings,Building Materials & Products,Construction & Materials,46740,"Wholesale of hardware, plumbing and heating equipment and supplies"
Plumbing Leaky Faucets Burst Pipes Clogged Drains,Construction Services,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation"
Plus Size Clothing,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores
Pneumatic Engineers,Mechanical Engineering,Manufacturing & Industrials,71129,Other engineering activities
Pneumatic Systems & Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,28120,Manufacture of fluid power equipment
Point Of Sale,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Point Of Sale Displays,Specialty Retail,Retail,25990,Manufacture of other fabricated metal products n.e.c.
Pointing Building Service,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Poke Bar,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Pole And Lap Dancing,Entertainment Services,"Media, Publishing & Entertainment",90010,Performing arts
Police,Administration of Justice,Public Sector & Government,84240,Public order and safety activities
Police Support Services,Administration of Justice,Public Sector & Government,84240,Public order and safety activities
Political Parties,Civic & Social Organizations,Public Sector & Government,94920,Activities of political organisations
Polythene & Plastic Sheeting Supplies,Plastics Manufacturing,Manufacturing & Industrials,22290,Manufacture of other plastic products
Pond Cleaning & Maintenance,Grounds Maintenance & Landscaping,Construction & Materials,81300,Landscape service activities
Pond Contractors,Landscaping,Construction & Materials,81300,Landscape service activities
Pool Centre,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Pool Hall,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Pools Promoters,Entertainment Services,"Media, Publishing & Entertainment",92000,Gambling and betting activities
Popcorn Equipment,Food Service Equipment,Manufacturing & Industrials,28990,Manufacture of other special-purpose machinery n.e.c.
Porch Canopies,Construction & Engineering,Construction & Materials,41202,Construction of domestic buildings
Port Management,Logistics & Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
Portable Appliance Testing,Electrical Engineering,Construction & Materials,71200,Technical testing and analysis
Portable Buildings,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Portable Tanks,"Oil, Gas & Consumable Fuels",Utilities & Energy,25290,"Manufacture of other tanks, reservoirs and containers of metal"
"Ports, Docks & Harbours",Logistics & Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
Portuguese Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Post,Mail Services,Transportation & Logistics,53100,Postal activities under universal service obligation
Post Office Services,Mail Services,Transportation & Logistics,53100,Postal activities under universal service obligation
Postcard Dealers,Specialty Retail,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Postres Artesanales Gourmet,Food Retail,Consumer Goods & Services,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
Potato Merchants/Dealers,Agricultural Products,Consumer Goods & Services,46310,Wholesale of fruit and vegetables
Potteries & Refractories,Materials & Metals,Manufacturing & Industrials,23410,Manufacture of ceramic household and ornamental articles
Potters Equipment & Supplies,Art & Craft,"Media, Publishing & Entertainment",46690,Wholesale of other machinery and equipment
Pottery Manufacturers & Supplies,Building Materials & Products,Manufacturing & Industrials,23410,Manufacture of ceramic household and ornamental articles
Poultry,Animal Breeding,Agriculture & Farming,01470,Raising of poultry
Poultry Equipment & Supplies,Agricultural Equipment,Manufacturing & Industrials,46610,"Wholesale of agricultural machinery, equipment and supplies"
Poultry Farmers,Animal Breeding,Agriculture & Farming,01470,Raising of poultry
Poultry Supplier,Food & Beverage Industry,Consumer Goods & Services,46320,Wholesale of meat and meat products
Poultry Vaccine,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,21200,Manufacture of pharmaceutical preparations
Poultry Veterinary Services,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Poultry Wholesalers,Food & Beverage Industry,Consumer Goods & Services,46320,Wholesale of meat and meat products
Powder Coating Company,Metal Fabrication,Manufacturing & Industrials,25610,Treatment and coating of metals
Powder Coatings,Chemical Products & Chemicals,Construction & Materials,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants"
Power Flushing,Environmental Engineering & Services,Manufacturing & Industrials,81299,Other cleaning services
Power Station,Utility Services & Water Services,Utilities & Energy,35110,Production of electricity
Power Tools,Industrial Equipment & Supplies,Retail,46620,Wholesale of machine tools
Power Transmission Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,28150,"Manufacture of bearings, gears, gearing and driving elements"
Power Transmission Services,Utility Services & Water Services,Utilities & Energy,35120,Transmission of electricity
Power/Pressure Washing Services,Commercial Cleaning Services,Professional Services,81222,Specialised cleaning services
PPC Budget Planning,Digital Services,Information Technology,73110,Advertising agencies
Practice Management,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Prams & Accessories,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
"Pre School, Day Care, Play Group, Kindergarten",Education Services,Education,85100,Pre-primary education
Precious Metal Recovery,Materials & Metals,Construction & Materials,38320,Recovery of sorted materials
Precious Stones,Jewelry,Manufacturing & Industrials,47770,Retail sale of watches and jewellery in specialised stores
Precision Engineers,Precision & Specialized Engineering,Manufacturing & Industrials,25620,Machining
Predictive Analytics,Data Analytics,Information Technology,62090,Other information technology service activities
Pregnancy Testing,Laboratory Services,Healthcare,86900,Other human health activities
Prehospital Emergency Medicine,Health Care Providers & Services,Healthcare,86101,Hospital activities
Premier Supplier,Wholesale Trade,Consumer Goods & Services,46900,Non-specialised wholesale trade
Premium Airport Lounges,Hospitality Management & Services,Hospitality,52230,Service activities incidental to air transportation
Premium Bathroom Products,Home Goods,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Premium Drinks,Beverage Distribution,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
