sub_industry,Industry,sector,sic_code,sic_description
Baby Sitters,Specialized Consumer Services,Consumer Goods & Services,96090,Other service activities n.e.c.
Bacon & Ham Curers & Merchants/Dealers,Food & Beverage Industry,Consumer Goods & Services,10130,Production of meat and poultry meat products
Badges & Emblems,Gifts & Stationery,Consumer Goods & Services,32990,Other manufacturing n.e.c.
Bagels,"Hotels, Restaurants & Leisure",Hospitality,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
"Bags, Belts & Accessories - Manufacturers",Apparel,Manufacturing & Industrials,14110,Manufacture of leather clothes
Bailiffs,Legal Services,Professional Services,82911,Activities of collection agencies
Drinking Water Coolers,Beverage Distribution,Manufacturing & Industrials,28290,Manufacture of other general-purpose machinery n.e.c.
Bakery & Confectionery Supplies,Food & Beverage Industry,Consumer Goods & Services,46360,Wholesale of sugar and chocolate and sugar confectionery
Baking Training,Education Services,Education,85590,Other education n.e.c.
Ballet/Dance Schools,Education Services,Education,85520,Cultural education
Balloons - Hot Air,Travel & Leisure,Hospitality,51102,Non-scheduled passenger air transport
Bankruptcy,Legal Services,Professional Services,82911,Activities of collection agencies
Banks & Financial Institutions,Banks,Financial Services,64191,Banks
Bar Code Products & Services,Information Technology (IT),Information Technology,62090,Other information technology service activities
Bar Design,Interior Design,Professional Services,71111,Architectural activities
Bar Equipment & Accessories,Industrial Equipment & Supplies,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing"
Bar Fitters,Construction & Engineering,Construction & Materials,43320,Joinery installation
Bar Operations,"Pubs, Bars & Inns",Hospitality,56302,Public houses and bars
Barge Charter,Shipping & Marine Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport
Barrel Supplier,Packaging & Paper Products,Manufacturing & Industrials,25910,Manufacture of steel drums and similar containers
Barristers,Legal Services,Professional Services,69101,Barristers at law
Bars,"Pubs, Bars & Inns",Hospitality,56302,Public houses and bars
Base Operations Support,Aerospace & Defense,Manufacturing & Industrials,52230,Service activities incidental to air transportation
Basement & Cellar Conversions,Construction & Engineering,Construction & Materials,43290,Other construction installation
"Bathroom Design, Installation & Supply",Construction & Engineering,Construction & Materials,43290,Other construction installation
Bathroom Equipment & Fittings,Home Goods,Retail,46740,"Wholesale of hardware, plumbing and heating equipment and supplies"
Bathroom Fixtures - Manufacturers,Household Goods & Services,Manufacturing & Industrials,23420,Manufacture of ceramic sanitary fixtures
Bathroom Planners & Furnishers,Furniture,Retail,47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
"Battery Cell, Batteries Manufacturer & Suppliers",Energy & Utilities Brokerage Services,Manufacturing & Industrials,27200,Manufacture of batteries and accumulators
BBQ Equipment & Supplies,Garden Supplies,Retail,47520,"Retail sale of hardware, paints and glass in specialised stores"
Beads & Bead,Art & Craft,"Media, Publishing & Entertainment",32120,Manufacture of jewellery and related articles
Beard Care Products,Personal Care & Services,Retail,20420,Manufacture of perfumes and toilet preparations
Bearing Manufacturers,Machinery & Manufacturing Services,Manufacturing & Industrials,28150,"Manufacture of bearings, gears, gearing and driving elements"
Bearings Stockists,Industrial Equipment & Supplies,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Beauty & Spas,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Beauty Consultants & Specialists,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Beauty Product Supply,Personal Care & Services,Consumer Goods & Services,46450,Wholesale of perfume and cosmetics
Beauty Products,Personal Care & Services,Consumer Goods & Services,46450,Wholesale of perfume and cosmetics
"Beauty Schools, Professional Makeup Academy",Education Services,Education,96020,Hairdressing and other beauty treatment
Bed & Breakfast,Hospitality Management & Services,Hospitality,55100,Hotels and similar accommodation
Bed & Mattress Manufacturers,Furniture,Manufacturing & Industrials,31030,Manufacture of mattresses
Bedroom Furniture,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
Bedroom Planners & Furnishers,Furniture,Manufacturing & Industrials,31020,Manufacture of kitchen furniture
"Beds, Bedding & Blankets",Furniture,Retail,47510,Retail sale of textiles in specialised stores
Beer,Food & Beverage Industry,Consumer Goods & Services,11050,Manufacture of beer
